λ (nm),TMS,TmS,TM,Tm,n1,d1 (nm),m,d2 (nm),n2,κ,α1 (cm^-1),α2 (cm^-1),discarded
292,0.71116862,0.701244554,0.742778671,0.711122216,2.077927066,979.5401222,24,1686.295952,2.058185447,0.00130831,563.0381082,563.0381082,yes
296,0.718954922,0.705775636,0.744979817,0.725700406,2.012845103,1766.245238,22.5,1654.374693,1.955981032,0.001437347,610.210466,610.210466,yes
302,0.730634375,0.711956007,0.748281535,0.730634375,1.99493498,1340.000125,22,1665.217179,1.951281979,0.001408138,585.9332168,585.9332168,no
307,0.736164969,0.717106317,0.751925089,0.731390803,2.000739256,1797.006166,21.5,1649.515293,1.938506427,0.001446607,592.1366299,592.1366299,no
314,0.743961108,0.721288741,0.757061182,0.743961108,1.957039752,4429.980187,21,1684.687292,1.936597437,0.001296459,518.8465623,518.8465623,no
320,0.747385544,0.724873675,0.760606819,0.737310168,1.996424135,2092.526509,20.5,1642.937462,1.926611948,0.001427374,560.5284655,560.5284655,no
327,0.75138072,0.727131179,0.764743394,0.738709534,2.001156076,1942.669044,21,1715.758226,2.016775038,0.001133644,435.6510362,435.6510362,no
333,0.75498375,0.729054238,0.766478772,0.739901587,1.997959981,1858.467181,20.5,1708.367551,2.004880558,0.001171574,442.1150001,442.1150001,no
341,0.75975986,0.731395784,0.768779158,0.740545206,1.999066633,1711.975372,20,1705.796067,2.002971568,0.001188324,437.9153861,437.9153861,no
349,0.762382627,0.73373733,0.770973847,0.741188824,2.000063475,1630.6659,19.5,1701.321004,1.99871305,0.001212532,436.5939822,436.5939822,no
358,0.765347207,0.736511488,0.773454562,0.743588221,1.994169268,1671.588927,19,1705.472076,1.997685133,0.00120271,422.1703728,422.1703728,no
366,0.76738524,0.738989076,0.774521477,0.745731111,1.985263679,1733.676999,18.5,1705.315035,1.988580716,0.001228823,421.9083434,421.9083434,no
376,0.769921346,0.740690861,0.775849135,0.7465632,1.981966919,1726.627911,18,1707.394794,1.987699644,0.001250808,418.0350816,418.0350816,no
386,0.772770658,0.742399467,0.778043405,0.747398623,1.982423951,1562.348156,17.5,1703.722354,1.983881663,0.001274883,415.0428623,415.0428623,no
397,0.775904901,0.745089056,0.780457101,0.749556702,1.97769791,1578.842911,17,1706.276769,1.982119518,0.001272481,402.7827229,402.7827229,no
409,0.778458595,0.748033398,0.782540195,0.751919189,1.969654938,1607.499491,16.5,1713.117326,1.981972672,0.001266902,389.2509732,389.2509732,no
421,0.781020815,0.750402978,0.784630244,0.7538319,1.963930987,1628.702778,16,1714.927878,1.978301537,0.001279494,381.9143157,381.9143157,no
435,0.784342758,0.753176059,0.787622391,0.756070315,1.959561967,1672.218805,15.5,1720.409998,1.980210527,0.001260949,364.2657036,364.2657036,no
449,0.787655224,0.755696803,0.790606,0.758213729,1.956708964,1561.785946,15,1721.001979,1.978007846,0.001255779,351.4607932,351.4607932,no
464,0.790391149,0.758397601,0.792935608,0.760510244,1.951461607,1612.231388,14.5,1723.836118,1.97595201,0.001252659,339.2537953,339.2537953,no
482,0.79367426,0.761472904,0.795731138,0.763331408,1.946210017,1635.473039,14,1733.625852,1.981825827,0.001203905,313.8737797,313.8737797,no
499,0.797010048,0.764377357,0.798830263,0.765995842,1.943907913,1604.685935,13.5,1732.720967,1.978448382,0.001186173,298.7151389,298.7151389,no
520,0.801139509,0.767892412,0.802666753,0.769283939,1.94067025,1583.991187,13,1741.666313,1.985350117,0.001106767,267.4625029,267.4625029,no
540,0.80445882,0.771246625,0.805791215,0.772421581,1.935370578,1599.413562,12.5,1743.852076,1.982413209,0.001076586,250.5330171,250.5330171,no
565,0.808600499,0.775322236,0.80968977,0.776322836,1.930265916,1614.571934,11,1609.881817,1.825288606,0.001827771,406.5211101,406.5211101,no
589,0.812739971,0.779241218,0.813675618,0.780074163,1.92685755,1590.873625,10.5,1604.815052,1.816331035,0.001824086,389.1703699,389.1703699,yes
619,0.817922079,0.784056503,0.818665408,0.784750337,1.923059832,1585.623318,10,1609.414303,1.817946335,0.001736701,352.5692114,352.5692114,yes
649,0.822990959,0.788878214,0.823632639,0.78943275,1.919165875,1615.683699,9.5,1606.296798,1.810750909,0.001685244,326.3081955,326.3081955,yes
686,0.829250129,0.794725432,0.82976629,0.795182983,1.914891373,1795.340022,9,1612.10189,1.813247281,0.001535481,281.2743447,281.2743447,yes
722,0.835254531,0.800414617,0.835681751,0.800777805,1.91160025,1806.138008,8.5,1605.199623,1.80238072,0.001446485,251.7599659,251.7599659,yes
770,0.843260399,0.800414617,0.843569031,0.800777805,1.934923809,1737.883496,8,1591.793943,1.80913561,0.001360953,222.1069287,222.1069287,yes
